name;sex;regency;father;mother;place
Temev Rep;Female;Runic;Takobu Tazocepu;Quyaqike Rep;Jiwudug
Xavimocis Saj;Female;Summoner;Posiqedigi Saj;Biketevuj Saj;Jiwudug
Peq Saj;Male;Tamer;Bise Saj;Torajowapu Saj;Jiwudug
Yebupopaya Saj;Female;Summoner;Nadiwoxi Rep;Vufehakaj Saj;Jiwudug
Wikoja Tazocepu;Male;Metaphisic;Bequkiwa Tazocepu;Ziquxayam Saj;Jiwudug
Gamoho Tazocepu;Female;Warrior;Vakanehapo Tazocepu;Qitovi Saj;Jiwudug
Quza Saj;Male;Illusionist;Jatokozow Saj;Jakuc Saj;Jiwudug
Cajetuba Saj;Female;Shooter;Caputoxe Saj;Jakeyaqeqe Nisosumi;Jiwudug
Boqaz Rep;Male;Illusionist;Gab Tazocepu;Zubagavif Rep;Jiwudug
Xuzib Saj;Male;Runic;Juze Tazocepu;Suno Saj;Jiwudug
Giqeve Rep;Female;Runic;Yokuc Rep;Gegabi Saj;Webihiz
Qeduwutadu Tazocepu;Male;Summoner;Xupumarene Tazocepu;Hov Saj;Gawid
Faqosisota Saj;Female;Wily;Boqaz Rep;Xusodicu Saj;Gawid
Hah Zuroq;Male;Illusionist;Tawayut Zuroq;Lacubobitu Saj;Gawid
Qazobet Saj;Female;Wizard;Rufivohi Saj;Gemove Saj;Rosac
Mupoyi Rep;Female;Wizard;Hejutinaxu Rep;Jakajunisa Rep;Rosac
Xeyo Saj;Female;Tamer;Xuko Saj;Decu Saj;Rosac
Zegegeta Saj;Female;Shooter;Nocuhan Saj;Jakajunisa Rep;Rosac
Jiy Saj;Male;Runic;Rerajusak Saj;Ladajebay Saj;Rosac
Hidavowam Rep;Female;Oracle;Nadiwoxi Rep;Pogovejeho Tazocepu;Rosac
Xunefaz Saj;Male;Illusionist;Vegiyuxe Saj;Zudoyi Saj;Rosac
Wiwaduvo Saj;Female;Illusionist;Vavu Saj;Rugo Saj;Rosac
Zujufiyiy Tazocepu;Male;Illusionist;Lozotiliwu Tazocepu;Zulaba Tazocepu;Rosac
Dopere Saj;Male;Illusionist;Xaje Saj;Yebupopaya Saj;Rosac
Leta Saj;Female;Wily;Dobuxoc Tazocepu;Jakuc Saj;Cezequnag
Yuqu Saj;Female;Shooter;Witujo Saj;Quyaqike Rep;Cezequnag
Najak Rep;Female;Grunph;Miqo Saj;Ruxutoh Rep;Viqereco
Tibukolih Jaza;Male;Metaphisic;Podaciwo Lader;Rof Jaza;Viqereco
Waxunema Tiparo;Female;Oracle;Qatecaced Tiparo;Xiqi Tazocepu;Viqereco
Hum Saj;Female;Wizard;Hejutinaxu Rep;Bufoxen Saj;Viqereco
Yimi Saj;Male;Illusionist;Loqumo Saj;Kogomoxigu Saj;Viqereco
Capidupoqo Saj;Male;Runic;Xaje Saj;Qitovi Saj;Viqereco
Huwabeqaze Saj;Male;Shooter;Kenoliv Saj;Hoqemov Saj;Viqereco
Lig Rep;Male;Runic;Kenoliv Saj;Rigakij Rep;Viqereco
Sifefi Saj;Female;Oracle;Xel Saj;Bufoxen Saj;Viqereco
Qoruwaxuw Saj;Male;Warrior;Voxuyu Zuroq;Qazobet Saj;Viqereco
Riqava Tazocepu;Male;Wizard;Zir Saj;Citegiho Tazocepu;Viqereco
Jiyoxari Rep;Female;Arcan;Meseqowiye Rep;Joyil Rep;Viqereco
Bituvumuji Saj;Female;Summoner;Quho Rep;Faqosisota Saj;Viqereco
Heceq Tazocepu;Female;Summoner;Jutez Rep;Buji Tazocepu;Viqereco
Takobu Tazocepu;Male;Warrior;Jabora Saj;Fatotedoy Tazocepu;Vejovupuye
Gaxewo Saj;Male;Wizard;Torunab Saj;Deso Saj;Fuxuyi
Cizopilelu Saj;Male;Shooter;Hec Rep;Yebupopaya Saj;Fuxuyi
Doqop Saj;Male;Tamer;Tuxiyu Tazocepu;Biketevuj Saj;Fuxuyi
Xupumarene Tazocepu;Male;Warrior;Zujufiyiy Tazocepu;Bayaqoc Nisosumi;Fuxuyi
Difokuy Saj;Male;Tamer;Cupif Saj;Citegiho Tazocepu;Fuxuyi
Zubot Saj;Female;Wizard;Rerajusak Saj;Yehapi Tazocepu;Fuxuyi
Zulaba Tazocepu;Female;Grunph;Qatecaced Tiparo;Xiqi Tazocepu;Fuxuyi
Kejalaz Nisosumi;Male;Warrior;Tofabo Zuroq;Nusoyituf Nisosumi;Yezub
Rulufiluzu Rep;Male;Runic;Yiqela Rep;Narexufo Saj;Zof
Huc Qelimu;Female;Wily;Wudedogadi Saj;Luday Qelimu;Zof
Teric Saj;Female;Tamer;Xapunised Tazocepu;Gopixuji Saj;Zof
Xozusok Qelimu;Female;Wily;Muy Tazocepu;Gakivu Qelimu;Zof
Qazid Saj;Male;Illusionist;Yimi Saj;Nuga Saj;Zof
Tipeyokez Saj;Male;Oracle;Vigoqec Saj;Bufoxen Saj;Zof
Luday Qelimu;Female;Illusionist;Rilabod Qelimu;Janu Zuroq;Zof
Liveg Saj;Female;Illusionist;Xas Saj;Mewa Saj;Zof
Bizefifap Rep;Female;Summoner;Gunevuw Rep;Joyil Rep;Zof
Wigeyibede Saj;Male;Runic;Wamoyup Saj;Diqelag Saj;Zof
Xipip Saj;Male;Oracle;Worugac Tazocepu;Torajowapu Saj;Zof
Dacalahef Zuroq;Female;Runic;Teye Tic;Cexuwaju Zuroq;Zof
Pej Rep;Female;Tamer;Pajenikej Saj;Quyaqike Rep;Kokolagofe

